Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
37357;Morrison;TN;35.596484;-85.92275;-6;1;35.596484,-85.92275
37862;Sevierville;TN;35.818653;-83.59197;-5;1;35.818653,-83.59197
37375;Sewanee;TN;35.193891;-85.91048;-6;1;35.193891,-85.91048
37918;Knoxville;TN;36.046598;-83.92511;-5;1;36.046598,-83.92511
38175;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37913;Knoxville;TN;35.906808;-84.024627;-5;1;35.906808,-84.024627
37915;Knoxville;TN;35.97125;-83.90149;-5;1;35.97125,-83.90149
37813;Morristown;TN;36.186008;-83.27474;-5;1;36.186008,-83.27474
38039;Grand Junction;TN;35.057728;-89.18599;-6;1;35.057728,-89.18599
37055;Dickson;TN;36.065779;-87.40831;-6;1;36.065779,-87.40831
37320;Cleveland;TN;35.17272;-84.861885;-5;1;35.17272,-84.861885
37062;Fairview;TN;35.976983;-87.14128;-6;1;35.976983,-87.14128
37129;Murfreesboro;TN;35.896645;-86.42425;-6;1;35.896645,-86.42425
38221;Big Sandy;TN;36.254423;-88.04885;-6;1;36.254423,-88.04885
37419;Chattanooga;TN;35.031674;-85.37276;-5;1;35.031674,-85.37276
37402;Chattanooga;TN;35.046324;-85.31199;-5;1;35.046324,-85.31199
37077;Hendersonville;TN;36.304701;-86.621095;-6;1;36.304701,-86.621095
38069;Stanton;TN;35.459089;-89.35699;-6;1;35.459089,-89.35699
37729;Duff;TN;36.510252;-84.02712;-5;1;36.510252,-84.02712
38251;Puryear;TN;36.444446;-88.35903;-6;1;36.444446,-88.35903
37110;McMinnville;TN;35.687286;-85.787;-6;1;35.687286,-85.787
37887;Wartburg;TN;36.091018;-84.56863;-5;1;36.091018,-84.56863
38167;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37317;Copperhill;TN;35.008596;-84.3859;-5;1;35.008596,-84.3859
37228;Nashville;TN;36.190205;-86.80078;-6;1;36.190205,-86.80078
37742;Greenback;TN;35.66806;-84.1817;-5;1;35.66806,-84.1817
37866;Sharps Chapel;TN;36.355257;-83.82637;-5;1;36.355257,-83.82637
38461;Hampshire;TN;35.606697;-87.33058;-6;1;35.606697,-87.33058
38569;Lancaster;TN;36.104271;-85.84696;-6;1;36.104271,-85.84696
38343;Humboldt;TN;35.825299;-88.90218;-6;1;35.825299,-88.90218
38238;Martin;TN;36.282357;-88.738132;-6;1;36.282357,-88.738132
38163;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37024;Brentwood;TN;35.874553;-86.907565;-6;1;35.874553,-86.907565
37376;Sherwood;TN;35.060787;-85.92217;-6;1;35.060787,-85.92217
37730;Eagan;TN;36.553851;-83.97503;-5;1;36.553851,-83.97503
37246;Nashville;TN;36.158606;-86.789998;-6;1;36.158606,-86.789998
37030;Carthage;TN;36.264959;-85.94893;-6;1;36.264959,-85.94893
37091;Lewisburg;TN;35.461359;-86.7792;-6;1;35.461359,-86.7792
38321;Cedar Grove;TN;35.844195;-88.5322;-6;1;35.844195,-88.5322
37175;Stewart;TN;36.316042;-87.89028;-6;1;36.316042,-87.89028
37820;New Market;TN;36.089568;-83.56389;-5;1;36.089568,-83.56389
38182;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38255;Sharon;TN;36.236377;-88.83586;-6;1;36.236377,-88.83586
